space_id,space_name,library_id,library,school_or_unit,floor,room_type,seats,noise_level_code,noise_level,reservable,open_space,booking_url,contact_available,description,notes,image_url,image_count,accessible,charging,cafe_onsite,conversation_areas,couches_arm_chairs,food_drink_allowed,lockers,media_studios,printers_scanners_copiers,private_desks,projector_digital_display,quiet_study_areas,reservable_space_amenity,single_stall_restrooms,special_collections_archives,standing_desks,tech_loan,webcam,whiteboards_chalkboards,feature_count,latitude,longitude,library_address,snapshot_hours,library_url,source_url,accessed_date
76,Cabot L212 — Group Study Room,131,Cabot Science Library,,Second Floor,Group Study Room,6,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/212,0,"This large group study room fits six comfortably around a rectangular table. It features movable furniture, a chalkboard, and a large window facing the Science Center courtyard. It receives a lot of natural light. It is most suitable for work that is largely non-electronic (ex. PSETs, meetings).",There are two outlets. Students are welcome to use the space when empty -- with the knowledge that those with reservations have precedence.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20L205%20-%20Inside%20View.jpg,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=76,2026-09-21
86,Cabot L213 — Group Study Room,131,Cabot Science Library,,Second Floor,Group Study Room,6,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/213,0,"This group study room fits six comfortably around a round table. It features a chalkboard, and receives lots of natural light. It is most suitable for work that is largely non-electronic (ex.PSETs, meetings).",There are two outlets. Students are welcome to use the space when empty -- with the knowledge that those with reservations have precedence.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20L213%20-%20Outside%20View.jpg,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=86,2026-09-21
91,Cabot L214 — Group Study Room,131,Cabot Science Library,,Second Floor,Group Study Room,4,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/214,0,"This group study room fits four comfortably. It features accessible outlets, a chalkboard, and large windows facing Memorial Hall. It is most suitable for work that is largely non-electronic (ex. PSETs, meetings).",There are two outlets. Students are welcome to use the space when empty -- with the knowledge that those with reservations have precedence.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20L214%20-%20Inside%20View%201.jpg,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=91,2026-09-21
46,Cabot LL00.10 — Chat Booth A,131,Cabot Science Library,,Lower Level,Independent Study Room,1,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/chatbooths/A,0,Chat Booth A fits one person comfortably at a built-in desk. It consists of a sound dampened enclosure with dimmable lights - perfect for individual video-conferencing and virtual meetings of all kinds.,"There is one outlet. Bring your own laptops, tablets or other personal devices.",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/LL00_10_Chat_Booth%20Inside%20View.jpg,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=46,2026-09-21
51,Cabot LL00.20 — Chat Booth B,131,Cabot Science Library,,Lower Level,Independent Study Room,1,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/chatbooths/B,0,Chat Booth B fits one person comfortably at a built-in desk. It consists of a sound dampened enclosure with dimmable lights - perfect for individual video-conferencing and virtual meetings of all kinds.,"There is one outlet. Bring your own laptops, tablets or other personal devices.",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/LL0020%20Chat%20Booth%20B%20Inside%20View.jpg,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=51,2026-09-21
56,Cabot LL00.30 — Chat Booth C,131,Cabot Science Library,,Lower Level,Independent Study Room,1,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/chatbooths/C,1,"Chat Booth C is wheelchair accessible and fits one person comfortably at a built-in desk. It consists of a sound dampened enclosure, with dimmable lights - perfect for individual video-conferencing and virtual meetings of all kinds.","There is one outlet. Bring your own laptops, tablets or other personal devices. Questions? Contact cablib@fas.harvard.edu . ♿ This room is accessible for people using wheelchairs or other mobility devices. Find more details about accessible building information on the Harvard accessibility map .",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/LL00.30%20Chat%20Booth%20C%20Inside%20View.jpg,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=56,2026-09-21
1,Cabot LL01 — Media Studio A,131,Cabot Science Library,,Lower Level,Media Lab / Studio,2,2,Chatter,1,0,,1,Cabot Media Studio A comfortably seats two people and offers the option of either an overhead camera or a view from the back of the room camera. It includes green and grey screen backgrounds.,"Find out more about the studio equipment and booking process . Media Studios are available for all members of the Harvard community to use. You should come with your own NTFS- or FAT-formatted hard drive for storing your video files. If needed, flash drives can be borrowed from the Access Services desk on the lower level. Reservation priority is given for academic use. Rooms may be reserved for a maximum of three hours at a time, no more than 14 days in advance. Reservations for consecutive, concurrent, or recurring meetings are not permitted. Cabot's media studios are largely self service. Student consultants are available to help during the academic year. Training Before booking a media studio you must complete a 30-minute training session. Trainings are offered by appointment, Monday through Thursday, 9am- 5pm. Contact cablib@fas.harvard.edu to set up a training time. Booking After completing training, you may book either studio for two hours at a time. To make a reservation, email cablib@fas.harvard.edu at least one week in advance with the following information: Which studio you would like to book A short description of your project Preferred dates and times for use Setup requests and special technological needs The reserver takes full responsibility for loss or damage to equipment, cables, cameras, furniture and all other items in the studio. Fines will be assessed by Harvard Library for any damage detected, and can be levied up to one month after the reservation is completed.",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2019-01/IMG_0597_resized.jpg,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=1,2026-09-21
6,Cabot LL02 - Media Studio B,131,Cabot Science Library,,Lower Level,Media Lab / Studio,4,2,Chatter,1,0,,1,Media Studio B comfortably seats three to four people and features a green and grey screen backgrounds.,"Find out more details about the studio equipment and booking process . Media Studios are available for all members of the Harvard community to use. You should come with your own NTFS- or FAT-formatted hard drive for storing your video files. If needed, flash drives can be borrowed from the Access Services desk on the lower level. Reservation priority is given for academic use. Rooms may be reserved for a maximum of three hours at a time, no more than 14 days in advance. Reservations for consecutive, concurrent, or recurring meetings are not permitted. Cabot's media studios are largely self service. Student consultants are available to help during the academic year. Training Before booking a media studio you must complete a 30-minute training session. Trainings are offered by appointment, Monday through Thursday, 9am - 5pm. Contact cablib@fas.harvard.edu to set up a training time. Booking After completing training, you may book either studio for two hours at a time. To make a reservation, email cablib@fas.harvard.edu at least one week in advance with the following information: Which studio you would like to book A short description of your project Preferred dates and times for use Setup requests and special technological needs The reserver takes full responsibility for loss or damage to equipment, cables, cameras, furniture and all other items in the studio. Fines will be assessed by Harvard Library for any damage detected, and can be levied up to one month after the reservation is completed.",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2019-01/IMG_0608_resized.jpg,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=6,2026-09-21
101,Cabot LL03 - Instruction Room,131,Cabot Science Library,,Lower Level,Meeting and Presentation Space,24,2,Chatter,1,0,,1,"Cabot's Instruction Room fits 24 people comfortably. With 11 tables that can be arranged in various configurations, this room is perfect for large group meetings, classes, and presentations. There are three projectors, three video cameras, an overhead camera, and several movable displays. The room has two doors and a retractable glass wall that opens out into the nearby collaborative space. The retractable glass wall needs manual operation and staff will be happy to assist users on request.",Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. The room is Zoom enabled using the room's sound system. Furniture can be arranged in several ways. Possible arrangements (PDF) . Interested in booking this room? Fill out this form . Questions or reservations? Contact cablib@fas.harvard.edu .,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20LL03%20inside%20view%20.jpg,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=101,2026-09-21
571,Cabot LL04 — AR/VR Studio,131,Cabot Science Library,,Lower Level,Media Lab / Studio,1,2,Chatter,1,0,https://roombook.harvard.edu/,1,Interested in augmented or virtual reality? Come visit the new AR/VR Studio in Room LL04 and explore different worlds and universes with the HTC Vive Headset.,"Appointments to use the space are required. Requests for time can be submitted via RoomBook , or you can email us . The Cabot AR/VR Studio was funded in part by a S.T. Lee Innovation Grant administered by the Harvard Library.",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2019-01/ARVRuse.jpg,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=571,2026-09-21
111,Cabot LL05 — Group Study Room,131,Cabot Science Library,,Lower Level,Group Study Room,4,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/LL05,0,"This group study room fits four comfortably at a square table. It features movable furniture, a digital display, dimmable lights, and whiteboards to promote a collaborative work space.",There are four outlets. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20LL05%20Inside%20View.jpg,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=111,2026-09-21
116,Cabot LL06 — Group Study Room,131,Cabot Science Library,,Lower Level,Group Study Room,6,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/LL06,0,"This group study room fits six comfortably at an oval table. It features movable furniture, a digital display, dimmable lights, and whiteboards to promote a collaborative work space.",There are four outlets. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/L006%20inside.jpg,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=116,2026-09-21
121,Cabot LL07 — Group Study Room,131,Cabot Science Library,,Lower Level,Group Study Room,6,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/LL07,0,"This group study room fits six comfortably at a rectangular table. It features movable furniture, a digital display, dimmable lights, and whiteboards to promote a collaborative work space.",There are four outlets. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/LL07%20Group%20Study%20Inside.jpg,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=121,2026-09-21
126,Cabot LL08 — Group Study Room,131,Cabot Science Library,,Lower Level,Group Study Room,4,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/LL08,0,"This group study room fits four comfortably. It features movable soft seats, a digital display, dimmable lights, and whiteboards to promote a collaborative work space.",There are three outlets. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/cabot-ll08-groupstudy-01.jpg,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=126,2026-09-21
131,Cabot LL09 — Group Study Room,131,Cabot Science Library,,Lower Level,Group Study Room,8,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/LL09,0,"This group study room fits six comfortably at an oval table. It features movable furniture, a digital display, dimmable lights, and walls that can be used as whiteboards to promote a collaborative work space.",There are two wall outlets and approximately 40 receptacles on the bottom of the pen tray around the room. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/LL09%20-%20Inside%20View.jpg,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=131,2026-09-21
136,Cabot LL10 — Group Study Room,131,Cabot Science Library,,Lower Level,Group Study Room,4,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/LL10,0,"This Group Study Room fits four comfortably at a square table. It features movable furniture, a digital display, dimmable lights, and walls that can be used as whiteboards to promote a collaborative work space.",There are two wall outlets and approximately 30 receptacles on the bottom of the pen tray around the room. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/LL10%20Cabot%20Inside%20view.jpg,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=136,2026-09-21
141,Cabot Lower Level,131,Cabot Science Library,,Lower Level,Open Space,10,2,Chatter,0,1,,0,"Cabot's Lower Level features a variety of options for both individual and group study. Choose between studying in a pod, the lounge area, or at the public computers. The open space houses five study pods that each comfortably seat one person. Pods are perfect for folks who are easily distracted and need a little extra room to spread out while studying. The lounge area features colorful couches with individual side tables and low tables. It's perfect for folks in need of a comfy study spot and might want to curl up next to a friend. The public computer station features 4 iMac desktop computers and one swivel chair in front of each computer. Bringing your own computer? Use the public computer station as a standing desk.","Floor outlet access throughout the lower level Movable furniture present and extra chairs available Very little natural light Cabot Library encourages individuals with disabilities to participate in its programs and activities. If you anticipate needing any type of accommodation or have questions about the physical access provided, please contact cablib@fas.harvard.edu .",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-06/Cabot%20Lower%20Level%20Overview.jpg,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=141,2026-09-21
151,Cabot Main Level,131,Cabot Science Library,,Main Level,Open Space,10,2,Chatter,0,1,,0,"Cabot's Main Level features a variety of options for both individual and group study. Choose between studying in a pod, in the lounge area, at the public computers station, in a booth, at individual desks, at one of the puzzle tables, or at the standing height Discovery Bar.","Floor outlet access throughout the main level Lockers present on site Lots of natural light Cabot Library encourages individuals with disabilities to participate in its programs and activities. If you anticipate needing any type of accommodation or have questions about the physical access provided, please contact cablib@fas.harvard.edu .",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-06/Cabot%20main%20level%20lounge%20area%20.jpg,4,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,7,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=151,2026-09-21
156,Cabot Second Floor,131,Cabot Science Library,,Second Floor,Open Space,10,1,Whispers,0,1,,0,"Cabot's Second Floor open space is perfect for folks who need some quiet to get their work done, but don't mind the hum of the occasional quiet conversation or snacking. Choose between studying in a carrel, at a desk looking out onto the plaza, at a group table, or in the lounge area.",Outlets are available throughout the second floor Lots of natural light,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2023-09/2-tablesandheyas.jpg,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=156,2026-09-21
496,Ernst Mayr Agassiz Room,291,Ernst Mayr Library,Museum of Comparative Zoology,Second Floor,Group Study Room,12,2,Chatter,1,0,,1,"The Agassiz Room features a large, stationary wooden table with chairs. This study space is nestled between new journal displays and book stacks.","Before reserving this space, confirm Ernst Mayr Library's weekly hours on Harvard Library's ""Locations & Hours"" page . There is one power outlet within reach of the table. A water dispenser and a Keurig machine are available for use in the neighboring Reference Room. ♿ This room is accessible for people using wheelchairs or other mobility devices. Find more details about accessible building information on the Harvard accessibility map .",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-08/Ernst%20Mayr%20Agassiz%20Room%20View%20of%20Table%20and%20Fireplace.jpg,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42.378859,-71.115751,"26 Oxford Street , Cambridge, MA, 02138",9am - 5pm,https://library.mcz.harvard.edu/,https://library.harvard.edu/spaces?room=496,2026-09-21
